web-scraper-order,name,rating,address,num_to_rate,start_url,franchise
1582755020-11,Chanello's Pizza #1,3.7,8245 Hampton Blvd,87,"https://www.google.com/maps/place/Chanello's+Pizza+%231/@36.928009,-76.3205357,17z/data=!3m1!4b1!4m10!1m2!2m1!1schnello's+pizza!3m6!1s0x89ba997fe547e42f:0x90f52467e57e80a4!8m2!3d36.928009!4d-76.318347!9m1!1b1",FALSE
1582755020-2,Chanello's Pizza #19,4,2226 Pleasure House Rd,68,"https://www.google.com/maps/place/Chanello's+Pizza+%2319/@36.9056756,-76.1367491,17z/data=!3m1!4b1!4m10!1m2!2m1!1schnello's+pizza!3m6!1s0x89ba947f9f77bbcd:0xd8dd9da9595428aa!8m2!3d36.9056756!4d-76.1345604!9m1!1b1",FALSE
1582755020-16,Chanello's Pizza #33,3.1,1122 George Washington Hwy N,124,"https://www.google.com/maps/place/Chanello's+Pizza+%2333/@36.7819818,-76.3383989,17z/data=!3m1!4b1!4m10!1m2!2m1!1schnello's+pizza!3m6!1s0x89baa32fc8a20eb5:0x27c72a7bc0bad400!8m2!3d36.7819818!4d-76.3362102!9m1!1b1",FALSE
1582755020-1,Chanello's Pizza #2,3.1,3201 E Ocean View Ave,116,"https://www.google.com/maps/place/Chanello's+Pizza+%232/@36.932126,-76.2046187,17z/data=!3m1!4b1!4m10!1m2!2m1!1schnello's+pizza!3m6!1s0x89ba913f1495a0ff:0x73f9a08a74cc8edc!8m2!3d36.932126!4d-76.20243!9m1!1b1",FALSE
1582755020-6,Chanello's Pizza #11,3.4,6657 Indian River Rd,148,"https://www.google.com/maps/place/Chanello's+Pizza+%2311/@36.819091,-76.2241417,17z/data=!3m1!4b1!4m10!1m2!2m1!1schnello's+pizza!3m6!1s0x89babd9dace7bc81:0x26dac2e722fbf6b3!8m2!3d36.819091!4d-76.221953!9m1!1b1",FALSE
1582755020-7,Chanello's Pizza #7,3.5,5300 Kemps River Dr #118,63,"https://www.google.com/maps/place/Chanello's+Pizza+%237/@36.8031341,-76.1770067,17z/data=!3m1!4b1!4m10!1m2!2m1!1schnello's+pizza!3m6!1s0x89babe7459902fe3:0x6a14b2c299a1c5df!8m2!3d36.8031341!4d-76.174818!9m1!1b1",FALSE
1582755020-19,Chanello's Pizza #26,2.9,1818 Todds Ln,141,"https://www.google.com/maps/place/Chanello's+Pizza+%2326/@37.040084,-76.4083707,17z/data=!3m1!4b1!4m10!1m2!2m1!1schnello's+pizza!3m6!1s0x89ba83213dbbc08b:0x74b643140f5b60b5!8m2!3d37.040084!4d-76.406182!9m1!1b1",FALSE
1582755020-9,Chanello's Pizza #5,3.3,901 W 21st St,157,"https://www.google.com/maps/place/Chanello's+Pizza+%235/@36.87157,-76.3002947,17z/data=!3m1!4b1!4m10!1m2!2m1!1schnello's+pizza!3m6!1s0x89ba984644f0319f:0xe26b261878364c00!8m2!3d36.87157!4d-76.298106!9m1!1b1",FALSE
1582755020-14,Chanello's Pizza #8,3.5,2129 General Booth Blvd #107,64,"https://www.google.com/maps/place/Chanello's+Pizza+%238/@36.768639,-76.0178329,17z/data=!3m1!4b1!4m10!1m2!2m1!1schnello's+pizza!3m6!1s0x89bac19fc5c918bf:0x48c98b40059a1d46!8m2!3d36.768639!4d-76.0156442!9m1!1b1",FALSE
1582755020-13,Chanello's Pizza #32,3.4,3200 High St,101,"https://www.google.com/maps/place/Chanello's+Pizza+%2332/@36.8347366,-76.3429376,17z/data=!3m1!4b1!4m10!1m2!2m1!1schnello's+pizza!3m6!1s0x89baa212cba80a53:0xd92219950172dd42!8m2!3d36.8347366!4d-76.3407489!9m1!1b1",FALSE
1582755020-3,Chanello's Pizza #6,3.6,1002 Aragona Blvd,111,"https://www.google.com/maps/place/Chanello's+Pizza+%236/@36.869404,-76.1488787,17z/data=!3m1!4b1!4m10!1m2!2m1!1schnello's+pizza!3m6!1s0x89ba944c5105a23f:0x6aa1c914da96d44f!8m2!3d36.869404!4d-76.14669!9m1!1b1",FALSE
1582755020-17,Chanello's Pizza #13,4.1,307 Johnstown Rd,80,"https://www.google.com/maps/place/Chanello's+Pizza+%2313/@36.711589,-76.2407287,17z/data=!3m1!4b1!4m10!1m2!2m1!1schnello's+pizza!3m6!1s0x89babb1cf20fdcaf:0xbeff819008b620b4!8m2!3d36.711589!4d-76.23854!9m1!1b1",FALSE
1582755020-10,Chanello's Pizza #3,3.6,1077 Virginia Beach Blvd,143,"https://www.google.com/maps/place/Chanello's+Pizza+%233/@36.840979,-75.9968367,17z/data=!3m2!4b1!5s0x89baea29ba7bd3c3:0x6a010471d2c98ca0!4m10!1m2!2m1!1schnello's+pizza!3m6!1s0x89baea2998386b9d:0x549dc79761d1f91b!8m2!3d36.840979!4d-75.994648!9m1!1b1",FALSE
